id_ibge,nc,votos,urnas_apuradas,prop,secoes_totais
1200138,JAIR BOLSONARO,4693,100.00,70.56,35
1200138,LULA,1958,100.00,29.44,35
1200179,JAIR BOLSONARO,3963,100.00,72.58,31
1200179,LULA,1497,100.00,27.42,31
1200203,JAIR BOLSONARO,31936,100.00,76.64,229
1200203,LULA,9733,100.00,23.36,229
1200252,JAIR BOLSONARO,6729,100.00,73.20,47
1200252,LULA,2464,100.00,26.80,47
1200302,JAIR BOLSONARO,6383,100.00,47.30,85
1200302,LULA,7113,100.00,52.70,85
1200328,JAIR BOLSONARO,1433,100.00,41.99,21
1200328,LULA,1980,100.00,58.01,21
1200336,JAIR BOLSONARO,6331,100.00,70.04,53
1200336,LULA,2708,100.00,29.96,53
1200344,JAIR BOLSONARO,2889,100.00,58.53,27
1200344,LULA,2047,100.00,41.47,27
1200351,JAIR BOLSONARO,3710,100.00,57.50,42
1200351,LULA,2742,100.00,42.50,42
1200385,JAIR BOLSONARO,6176,100.00,72.81,53
1200385,LULA,2306,100.00,27.19,53
1200393,JAIR BOLSONARO,1866,100.00,47.13,27
1200393,LULA,2093,100.00,52.87,27
1200401,JAIR BOLSONARO,142090,100.00,72.51,888
1200401,LULA,53873,100.00,27.49,888
1200427,JAIR BOLSONARO,6011,100.00,80.51,48
1200427,LULA,1455,100.00,19.49,48
1200435,JAIR BOLSONARO,1127,100.00,48.08,13
1200435,LULA,1217,100.00,51.92,13
1200450,JAIR BOLSONARO,9512,100.00,74.02,73
1200450,LULA,3338,100.00,25.98,73
1200500,JAIR BOLSONARO,13606,100.00,73.22,110
1200500,LULA,4976,100.00,26.78,110
1200609,JAIR BOLSONARO,9067,100.00,57.14,101
1200609,LULA,6802,100.00,42.86,101
1200708,JAIR BOLSONARO,5217,100.00,58.94,52
1200708,LULA,3634,100.00,41.06,52
1200807,JAIR BOLSONARO,7384,100.00,76.12,53
1200807,LULA,2317,100.00,23.88,53
1300029,JAIR BOLSONARO,2102,100.00,26.01,32
1300029,LULA,5978,100.00,73.99,32
1300060,JAIR BOLSONARO,1182,100.00,23.35,22
1300060,LULA,3880,100.00,76.65,22
1300086,JAIR BOLSONARO,2051,100.00,35.46,22
1300086,LULA,3733,100.00,64.54,22
1300102,JAIR BOLSONARO,3036,100.00,43.09,30
1300102,LULA,4010,100.00,56.91,30
1300144,JAIR BOLSONARO,4924,100.00,63.68,30
1300144,LULA,2809,100.00,36.32,30
1300201,JAIR BOLSONARO,1136,100.00,19.60,29
1300201,LULA,4660,100.00,80.40,29
1300300,JAIR BOLSONARO,6806,100.00,35.65,85
1300300,LULA,12283,100.00,64.35,85
1300409,JAIR BOLSONARO,2483,100.00,34.98,30
1300409,LULA,4616,100.00,65.02,30
1300508,JAIR BOLSONARO,1327,100.00,8.61,61
1300508,LULA,14079,100.00,91.39,61
1300607,JAIR BOLSONARO,2623,100.00,16.40,66
1300607,LULA,13370,100.00,83.60,66
1300631,JAIR BOLSONARO,3158,100.00,36.98,38
1300631,LULA,5381,100.00,63.02,38
1300680,JAIR BOLSONARO,1072,100.00,12.03,32
1300680,LULA,7837,100.00,87.97,32
1300706,JAIR BOLSONARO,8499,100.00,54.66,66
1300706,LULA,7050,100.00,45.34,66
1300805,JAIR BOLSONARO,3281,100.00,20.96,61
1300805,LULA,12371,100.00,79.04,61
1300839,JAIR BOLSONARO,1980,100.00,33.18,24
1300839,LULA,3988,100.00,66.82,24
1300904,JAIR BOLSONARO,2951,100.00,45.47,30
1300904,LULA,3539,100.00,54.53,30
1301001,JAIR BOLSONARO,2936,100.00,21.07,63
1301001,LULA,10998,100.00,78.93,63
1301100,JAIR BOLSONARO,5570,100.00,35.89,80
1301100,LULA,9949,100.00,64.11,80
1301159,JAIR BOLSONARO,4183,100.00,37.47,52
1301159,LULA,6982,100.00,62.53,52
1301209,JAIR BOLSONARO,12829,100.00,39.27,151
1301209,LULA,19841,100.00,60.73,151
1301308,JAIR BOLSONARO,4206,100.00,39.65,50
1301308,LULA,6403,100.00,60.35,50
1301407,JAIR BOLSONARO,3653,100.00,25.93,61
1301407,LULA,10435,100.00,74.07,61
1301506,JAIR BOLSONARO,1971,100.00,28.02,35
1301506,LULA,5064,100.00,71.98,35
1301605,JAIR BOLSONARO,2480,100.00,22.75,47
1301605,LULA,8421,100.00,77.25,47
1301654,JAIR BOLSONARO,4407,100.00,60.39,34
1301654,LULA,2891,100.00,39.61,34
1301704,JAIR BOLSONARO,10935,100.00,46.85,96
1301704,LULA,12406,100.00,53.15,96
1301803,JAIR BOLSONARO,2264,100.00,31.90,33
1301803,LULA,4833,100.00,68.10,33
1301852,JAIR BOLSONARO,12590,100.00,45.14,153
1301852,LULA,15304,100.00,54.86,153
1301902,JAIR BOLSONARO,17807,100.00,36.03,232
1301902,LULA,31621,100.00,63.97,232
1301951,JAIR BOLSONARO,1106,100.00,23.12,22
1301951,LULA,3678,100.00,76.88,22
1302009,JAIR BOLSONARO,2457,100.00,40.98,26
1302009,LULA,3538,100.00,59.02,26
1302108,JAIR BOLSONARO,1128,100.00,38.87,14
1302108,LULA,1774,100.00,61.13,14
1302207,JAIR BOLSONARO,1801,100.00,38.56,27
1302207,LULA,2870,100.00,61.44,27
1302306,JAIR BOLSONARO,2222,100.00,24.43,39
1302306,LULA,6872,100.00,75.57,39
1302405,JAIR BOLSONARO,6242,100.00,34.82,84
1302405,LULA,11683,100.00,65.18,84
1302504,JAIR BOLSONARO,23667,100.00,45.47,205
1302504,LULA,28386,100.00,54.53,205
1302553,JAIR BOLSONARO,2906,100.00,30.69,41
1302553,LULA,6562,100.00,69.31,41
1302603,JAIR BOLSONARO,692580,100.00,61.28,3769
1302603,LULA,437691,100.00,38.72,3769
1302702,JAIR BOLSONARO,8056,100.00,34.68,102
1302702,LULA,15172,100.00,65.32,102
1302801,JAIR BOLSONARO,1433,100.00,27.46,24
1302801,LULA,3785,100.00,72.54,24
1302900,JAIR BOLSONARO,3701,100.00,14.98,104
1302900,LULA,21003,100.00,85.02,104
1303007,JAIR BOLSONARO,1457,100.00,14.02,44
1303007,LULA,8939,100.00,85.98,44
1303106,JAIR BOLSONARO,2673,100.00,20.90,59
1303106,LULA,10114,100.00,79.10,59
1303205,JAIR BOLSONARO,3727,100.00,47.22,34
1303205,LULA,4166,100.00,52.78,34
1303304,JAIR BOLSONARO,2105,100.00,23.78,39
1303304,LULA,6747,100.00,76.22,39
1303403,JAIR BOLSONARO,8809,100.00,17.44,234
1303403,LULA,41689,100.00,82.56,234
1303502,JAIR BOLSONARO,2237,100.00,31.62,30
1303502,LULA,4838,100.00,68.38,30
